time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance
47104,554,2048.0,84,196.34269339130432,23,0.6762503981590271,0.2,-1.4142390864435583e-05,1.0088339113630354,-0.8114863714203239,0.0058431234,0.04384765625,220,0.0003,0.051411569118499756
49152,563,2048.0,87,198.9244095,24,0.4892160892486572,0.2,-5.34885170054622e-05,0.9990289627574385,-0.8082259150221944,0.0067038992,0.059375,230,0.0003,0.05359089374542236
51200,571,2048.0,89,199.90334072,25,0.18865764141082764,0.2,0.0006696010765153915,0.9016599087044597,-0.7927245184779167,0.0048526586,0.06416015625,240,0.0003,0.04354441165924072
53248,550,2048.0,96,201.70089280769227,26,0.8978206515312195,0.2,-0.0007377565358183347,0.9650508130900561,-0.8112524325028062,0.0061833747,0.067822265625,250,0.0003,0.04787802696228027
55296,558,2048.0,98,203.06199585185183,27,0.23171208798885345,0.2,-0.0002661137717950623,0.9813371076248586,-0.7640578499063849,0.012965405,0.086474609375,260,0.0003,0.05297905206680298
57344,567,2048.0,101,204.48603603571428,28,0.23842419683933258,0.2,0.00012012364895781502,1.042205878533423,-0.7294650349766016,0.004018575,0.04794921875,270,0.0003,0.05579787492752075
59392,548,2048.0,108,205.5000278275862,29,0.2702071964740753,0.2,-0.0017322622079518624,0.9740883241407573,-0.7496899858117103,0.0027835602,0.054541015625,280,0.0003,0.05042141675949097
61440,554,2048.0,110,206.2651723,30,0.6250122785568237,0.2,-0.0003808679350186139,1.0928584700450301,-0.7729500945657491,0.005614212,0.0568359375,290,0.0003,0.05804085731506348
63488,562,2048.0,112,207.76968958064515,31,0.23954083025455475,0.2,-0.0031312121551309246,0.9200083184987307,-0.80991823207587,0.006159668,0.072802734375,300,0.0003,0.042289555072784424
65536,546,2048.0,119,209.06425115625,32,1.293609619140625,0.2,0.0004095543336006813,0.9673872276209294,-0.7784394942224026,0.003808565,0.03974609375,310,0.0003,0.053057730197906494
67584,554,2048.0,121,209.93133687878787,33,0.35002052783966064,0.2,-0.0017091175192035734,1.0429795175790786,-0.7570158429443836,0.004096222,0.04990234375,320,0.0003,0.049946606159210205
69632,563,2048.0,123,211.09651726470588,34,0.20845305919647217,0.2,-0.0008288284501759335,1.0963263303041457,-0.7370179560035467,0.005577069,0.046875,330,0.0003,0.05487889051437378
71680,569,2048.0,125,212.3801926857143,35,0.19232067465782166,0.2,-0.004268697250518016,1.0846354464069008,-0.6706714577972889,0.007785091,0.071728515625,340,0.0003,0.05952936410903931
73728,556,2048.0,132,213.07048497222223,36,1.41685950756073,0.2,-0.0036356831798912024,1.2718061520718038,-0.6493786631152034,0.006487853,0.064697265625,350,0.0003,0.06284373998641968
75776,563,2048.0,134,213.77982694594596,37,0.3532353937625885,0.2,-0.0014468826906522737,0.9230771441012621,-0.6389327649027109,0.004844865,0.04658203125,360,0.0003,0.04166007041931152
77824,570,2048.0,136,214.4416055789474,38,0.33368387818336487,0.2,-0.001242689548234921,0.9933553205803036,-0.6369301242753863,0.0049571134,0.04677734375,370,0.0003,0.04719585180282593
79872,556,2048.0,143,215.16040353846154,39,0.6883940100669861,0.2,-0.0019145720609230921,0.9894361097365618,-0.5802389421500266,0.0019057805,0.050390625,380,0.0003,0.05298382043838501
81920,562,2048.0,145,215.6121952,40,0.5050697922706604,0.2,0.000268294449779205,1.0534319075755776,-0.5678638990968465,0.0034229043,0.043310546875,390,0.0003,0.05481982231140137
83968,568,2048.0,147,216.01409480487803,41,0.36817747354507446,0.2,-0.0014109663519775496,0.9921307739801705,-0.5507892745546996,0.004075962,0.063427734375,400,0.0003,0.04595881700515747
86016,574,2048.0,149,216.49300666666667,42,0.9847234487533569,0.2,-0.0003568768996046856,1.0784679079428314,-0.5473903303965926,0.0030417738,0.034814453125,410,0.0003,0.0546838641166687
88064,559,2048.0,157,217.12841460465117,43,0.9844385981559753,0.2,-2.62530091276858e-05,1.050895552802831,-0.5535618783906102,0.002196534,0.0447265625,420,0.0003,0.05733007192611694
90112,564,2048.0,159,217.81501427272727,44,0.8992744088172913,0.2,0.0001316476016654633,1.0097587461583317,-0.5636309922672809,0.0044621285,0.05263671875,430,0.0003,0.05505424737930298
92160,570,2048.0,161,218.12054642222222,45,0.4250713586807251,0.2,-0.001071271119872108,1.284361944720149,-0.5396080028265715,0.003428799,0.045068359375,440,0.0003,0.06191927194595337
94208,557,2048.0,168,218.53278808695651,46,1.36234450340271,0.2,-0.0014173015464621131,1.0019198126159607,-0.490737269539386,0.0036466413,0.03359375,450,0.0003,0.050216078758239746
96256,563,2048.0,170,218.98361317021278,47,0.27203527092933655,0.2,-0.0019179000479198293,1.076649196818471,-0.444469575304538,0.0034029454,0.036572265625,460,0.0003,0.05186319351196289
98304,568,2048.0,172,219.34736356250002,48,0.2520858347415924,0.2,-0.0015934078044665511,1.0174018515273928,-0.4377043926157057,0.004789881,0.04599609375,470,0.0003,0.05142521858215332
100352,553,2048.0,181,219.75166573469392,49,0.22561776638031006,0.2,-0.0001895864428661298,0.9805964337661862,-0.4717758230865002,0.0072118384,0.047412109375,480,0.0003,0.0478663444519043
102400,559,2048.0,183,220.37334838000004,50,1.4913774728775024,0.2,0.00047342336038127544,1.1479575377888978,-0.4965668349526823,0.0020136577,0.0298828125,490,0.0003,0.055334627628326416
104448,564,2048.0,185,220.7350212156863,51,0.3481726050376892,0.2,-0.0018533767681219615,1.198516061436385,-0.4362344350665808,0.0034551222,0.062548828125,500,0.0003,0.05713719129562378
106496,550,2048.0,193,221.11039065384617,52,0.725454568862915,0.2,-0.0004543162081972696,0.9993730968795717,-0.4452033558860421,0.0040471815,0.036279296875,510,0.0003,0.04688066244125366
108544,555,2048.0,195,221.41401854716983,53,0.7730315923690796,0.2,-0.0017623045197979082,1.1204124419018626,-0.44091471619904044,0.002346688,0.035400390625,520,0.0003,0.058152198791503906
110592,559,2048.0,197,221.38733683333336,54,0.685798168182373,0.2,0.0012337207823293283,0.9056178808212281,-0.4499347612261772,0.001832298,0.03837890625,530,0.0003,0.04333138465881348
112640,543,2048.0,207,221.68207883636367,55,0.14723515510559082,0.2,0.0018056281078315806,0.917285974137485,-0.43522419268265367,0.0044779163,0.03955078125,540,0.0003,0.04867976903915405
114688,547,2048.0,209,221.98917660714284,56,1.1005287170410156,0.2,-0.0005016777839045971,1.0835866591893137,-0.4120444410480559,0.0036329234,0.039599609375,550,0.0003,0.05600613355636597
116736,530,2048.0,219,222.15974514035088,57,0.1996999979019165,0.2,0.0002827613257977646,0.8350530310068279,-0.4400351203978062,0.002927342,0.036767578125,560,0.0003,0.03308075666427612
118784,534,2048.0,222,222.56068548275863,58,0.23748376965522766,0.2,0.0005551873484364478,1.0433972990140319,-0.48358837151899936,0.0071787788,0.0451171875,570,0.0003,0.04910242557525635
120832,526,2048.0,229,223.078755220339,59,0.9709390997886658,0.2,-0.0018195277443737723,1.1901777449063957,-0.4254524542018771,0.0043439227,0.0373046875,580,0.0003,0.0599592924118042
122880,530,2048.0,231,223.34412236666668,60,1.2959343194961548,0.2,-0.0006856976367998868,1.1432323367334902,-0.4436561372131109,0.0031448316,0.033154296875,590,0.0003,0.06152474880218506
124928,534,2048.0,233,223.9268560655738,61,0.34692054986953735,0.2,-0.000893743870256003,1.105032114032656,-0.4342099091038108,0.0057289596,0.044189453125,600,0.0003,0.0533599853515625
126976,526,2048.0,241,224.03324032258064,62,0.38283994793891907,0.2,-0.0010951592375931796,1.1222600101493299,-0.46590379253029823,0.0060311477,0.046484375,610,0.0003,0.059471189975738525
129024,530,2048.0,242,224.40926647619048,63,0.3685891032218933,0.2,0.00023972764320205896,1.0973059431649745,-0.4826395891606808,0.0056811133,0.043994140625,620,0.0003,0.0546954870223999
131072,535,2048.0,244,224.9109993125,64,0.3612592816352844,0.2,-0.0002575193648226559,1.0387198943644762,-0.5125731762498618,0.0027040963,0.039697265625,630,0.0003,0.05265307426452637
133120,538,2048.0,247,225.25288044615382,65,0.2913494408130646,0.2,-0.002427952250582166,1.0229693548753858,-0.544310349598527,0.0049832254,0.056396484375,640,0.0003,0.05113917589187622
135168,534,2048.0,252,225.412705,66,0.43439120054244995,0.2,-0.0009700385286123492,0.9128542860969902,-0.545589741691947,0.005058445,0.04140625,650,0.0003,0.05141115188598633
137216,538,2048.0,254,225.49356540298507,67,0.28050386905670166,0.2,-0.002540422357560601,1.0989551645703615,-0.5050987997092307,0.0045203557,0.05693359375,660,0.0003,0.05253720283508301
139264,542,2048.0,256,225.68752772058824,68,0.33261221647262573,0.2,-0.00032427337246190293,1.0486757165752352,-0.5303022535517812,0.0016314761,0.03857421875,670,0.0003,0.059945106506347656
141312,546,2048.0,258,226.03227036231885,69,0.6850485801696777,0.2,-0.00045433288396452555,0.9779492112807929,-0.5396701779216528,0.0018255741,0.056298828125,680,0.0003,0.049591124057769775
143360,540,2048.0,265,226.2516433142857,70,0.23190277814865112,0.2,-0.0017848841634986456,1.0124072677455842,-0.543826159182936,0.0024864709,0.035791015625,690,0.0003,0.05220353603363037
145408,544,2048.0,267,226.52364907042252,71,0.21688950061798096,0.2,0.0007775293051963672,0.887946818349883,-0.5523195116780698,0.0030419817,0.027734375,700,0.0003,0.047084689140319824
147456,548,2048.0,268,226.65854256944442,72,0.9391047954559326,0.2,-0.0002779445043415762,0.977173219807446,-0.5095633247867226,0.0026898882,0.0451171875,710,0.0003,0.05239838361740112
149504,551,2048.0,270,226.87286049315068,73,1.199417233467102,0.2,-0.0015825504953681957,1.0446390139870345,-0.5366079020313919,0.004054224,0.04150390625,720,0.0003,0.05704456567764282
151552,545,2048.0,277,227.09774145945946,74,1.715145230293274,0.2,-0.0010476425792148802,1.0111326635349542,-0.5044811558909714,0.003505345,0.053173828125,730,0.0003,0.05723768472671509
153600,549,2048.0,279,227.22705076,75,0.2821219563484192,0.2,-0.0010780623655591627,1.0749636651016772,-0.49637911198660734,0.002962682,0.050341796875,740,0.0003,0.05934405326843262
155648,553,2048.0,281,227.41316201315786,76,0.3582102358341217,0.2,0.000809706658765208,1.0315474540926517,-0.5127087524160743,0.0031756493,0.034130859375,750,0.0003,0.052601516246795654
157696,551,2048.0,285,227.7266098441558,77,0.3726080656051636,0.2,-0.0010207086917944253,0.9627247445285321,-0.5456282256171108,0.0061089736,0.0412109375,760,0.0003,0.058591604232788086
159744,552,2048.0,289,227.9243229230769,78,0.22179710865020752,0.2,-0.001239644874294754,1.138042942713946,-0.4662367264740169,0.0014743448,0.031982421875,770,0.0003,0.060767292976379395
161792,556,2048.0,290,228.3489720632911,79,0.18593108654022217,0.2,9.928510262398049e-05,0.9810251335147768,-0.5146366675384343,0.002518763,0.036083984375,780,0.0003,0.060451626777648926
163840,559,2048.0,292,228.67388335,80,0.24822497367858887,0.2,0.0006853309663711116,0.964795836340636,-0.502709570992738,0.0018751355,0.0267578125,790,0.0003,0.0403062105178833
165888,562,2048.0,294,228.90992692592593,81,0.36822572350502014,0.2,0.00048350166398449803,1.1961800932884217,-0.49593444615602494,0.002868645,0.040087890625,800,0.0003,0.059583425521850586
167936,557,2048.0,301,229.04260652439024,82,1.2003223896026611,0.2,-0.002166117337037576,0.98045773957856,-0.4829426620155573,0.0026311213,0.0482421875,810,0.0003,0.04616004228591919
169984,561,2048.0,302,229.23178897590364,83,0.2621840834617615,0.2,-0.0017382721835019765,0.8958803596906364,-0.5079441549256444,0.006217407,0.045166015625,820,0.0003,0.04794931411743164
172032,564,2048.0,305,229.65549209523812,84,0.2282676249742508,0.2,-0.0036310546711320058,0.9997677373699844,-0.48850686121731995,0.0043859845,0.059521484375,830,0.0003,0.052206993103027344
174080,566,2048.0,307,229.94265003529415,85,0.6801003217697144,0.2,-0.00316678736708127,0.9227274438366294,-0.4494771661236882,0.0044475035,0.072607421875,840,0.0003,0.03763502836227417
176128,561,2048.0,313,230.33398703488376,86,0.5071620345115662,0.2,0.0011636658251518383,1.1188111869618296,-0.45561127476394175,0.0019747992,0.0412109375,850,0.0003,0.05814504623413086
178176,564,2048.0,315,230.5482594252874,87,0.8196174502372742,0.2,-0.0013060008277534507,1.2412927818484605,-0.4714241990819573,0.00261401,0.039306640625,860,0.0003,0.061830759048461914
180224,567,2048.0,317,230.69915778409094,88,1.2287389039993286,0.2,-0.0003012210050655995,1.0779499178752303,-0.48990726033225657,0.0031613468,0.0478515625,870,0.0003,0.05769944190979004
182272,559,2048.0,325,230.78329766292137,89,0.38766276836395264,0.2,-0.0032533787649299483,0.9158438096754253,-0.5264987549744546,0.0047094747,0.072216796875,880,0.0003,0.04247128963470459
184320,562,2048.0,327,230.99618942222224,90,0.2852940857410431,0.2,0.0021096248834510333,1.0517216527834534,-0.5436088579706848,0.006206754,0.073876953125,890,0.0003,0.05988949537277222
186368,565,2048.0,329,231.279265010989,91,0.402078777551651,0.2,0.0024150838464265688,0.9735116967000067,-0.5325987919233739,0.0059133284,0.053369140625,900,0.0003,0.03373610973358154
188416,556,2048.0,338,231.21316104347827,92,0.24950990080833435,0.2,0.00039416997751686724,1.1850648365914822,-0.5425246557220816,0.004769852,0.077783203125,910,0.0003,0.05745130777359009
190464,559,2048.0,340,231.15499122580647,93,0.2322751134634018,0.2,-0.000724967589485459,0.864239730220288,-0.5732011052779853,0.01407386,0.092041015625,920,0.0003,0.03280085325241089
192512,562,2048.0,342,231.06905790425535,94,0.32865166664123535,0.2,-0.0006480574455054011,0.9843963727355003,-0.6239874590188265,0.003970096,0.092431640625,930,0.0003,0.05753225088119507
194560,555,2048.0,350,231.1575856526316,95,0.24393130838871002,0.2,0.0015821297391084954,1.028474697470665,-0.6410062238574028,0.008637529,0.0841796875,940,0.0003,0.05403602123260498
196608,558,2048.0,352,231.18153065624998,96,0.5591415762901306,0.2,-0.0003018291550688446,1.1115357687696814,-0.6335591899231077,0.0047564674,0.068701171875,950,0.0003,0.04968667030334473
198656,561,2048.0,354,231.28725505154637,97,1.076477289199829,0.2,0.0024638467039039824,0.9248144960030913,-0.6357617551460862,0.004136268,0.06826171875,960,0.0003,0.052753448486328125
200704,554,2048.0,361,231.2578667244898,98,0.4559975862503052,0.2,0.0008816875735647046,1.0249838775023818,-0.6015233719721437,0.0044427225,0.07578125,970,0.0003,0.054086267948150635
